2022-06-28 11:15:32,616 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 11:15:32,617 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: ['Áo', 'Quần']
2022-06-28 11:15:32,631 | Keyword | [INFO] | LOAD LINK Áo FROM FOLDER
2022-06-28 11:15:32,790 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1219
2022-06-28 11:15:32,848 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1436
2022-06-28 11:15:32,954 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1219
2022-06-28 11:15:33,032 | Keyword | [INFO] | LOAD LINK Quần FROM FOLDER
2022-06-28 11:15:33,184 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 1163
2022-06-28 11:15:33,241 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1530
2022-06-28 11:15:33,352 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 1163
2022-06-28 11:17:33,640 | CrawlShopeeService | [INFO] | ITEM OF Áo IS REMOVED
2022-06-28 11:17:34,512 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1222
2022-06-28 11:18:32,618 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:11
2022-06-28 11:18:32,619 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Quần']
2022-06-28 11:21:19,962 | Keyword | [INFO] | LOAD LINK Áo FROM FOLDER
2022-06-28 11:21:20,097 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1222
2022-06-28 11:21:20,155 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1433
2022-06-28 11:21:20,268 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1222
2022-06-28 11:23:32,625 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:33
2022-06-28 11:23:32,626 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Quần', 'Áo', 'Đầm']
2022-06-28 11:23:35,555 | Keyword | [INFO] | LOAD LINK Đầm FROM FOLDER
2022-06-28 11:23:35,768 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Đầm. NUMBER OF LINK HAVE BEEN CRAWLED: 2276
2022-06-28 11:23:35,850 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 377
2022-06-28 11:23:35,999 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Đầm. NUMBER OF LINK HAVE BEEN CRAWLED: 2276
2022-06-28 11:23:36,084 | Keyword | [INFO] | LOAD LINK Váy FROM FOLDER
2022-06-28 11:23:36,324 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Váy. NUMBER OF LINK HAVE BEEN CRAWLED: 2451
2022-06-28 11:23:36,399 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 64
2022-06-28 11:23:36,578 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Váy. NUMBER OF LINK HAVE BEEN CRAWLED: 2451
2022-06-28 11:28:32,629 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:52
2022-06-28 11:29:01,050 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Quần', 'Áo', 'Đầm', 'Váy']
2022-06-28 11:29:17,146 | CrawlShopeeService | [INFO] | ITEM OF Áo IS REMOVED
2022-06-28 11:29:18,057 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1232
2022-06-28 11:29:23,151 | CrawlShopeeService | [INFO] | ITEM OF Quần IS REMOVED
2022-06-28 11:29:24,045 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 1194
2022-06-28 11:29:24,128 | CrawlShopeeService | [INFO] | ITEM OF Đầm IS REMOVED
2022-06-28 11:29:25,642 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Đầm. NUMBER OF LINK HAVE BEEN CRAWLED: 2282
2022-06-28 11:29:25,751 | CrawlShopeeService | [INFO] | ITEM OF Váy IS REMOVED
2022-06-28 11:29:27,470 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Váy. NUMBER OF LINK HAVE BEEN CRAWLED: 2453
2022-06-28 11:29:47,754 | uvicorn.error | [INFO] | Shutting down
2022-06-28 11:29:47,858 | uvicorn.error | [INFO] | Waiting for application shutdown.
2022-06-28 11:29:47,859 | uvicorn.error | [INFO] | Application shutdown complete.
2022-06-28 11:29:47,860 | uvicorn.error | [INFO] | Finished server process [2944]
2022-06-28 11:30:03,333 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000297E67F4B50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/d7d201fc9da201601563546494126ee8/element
2022-06-28 11:30:03,333 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000297E67C9D60>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/cb2ce56c3bcd5b74beb1bd3df3b36c1a/element
2022-06-28 11:30:07,414 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000297E9136640>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/d7d201fc9da201601563546494126ee8/element
2022-06-28 11:30:07,430 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000297E9136BB0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/cb2ce56c3bcd5b74beb1bd3df3b36c1a/element
2022-06-28 11:30:11,507 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000297E9136D60>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/d7d201fc9da201601563546494126ee8/element
2022-06-28 11:30:11,521 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000297E9136AF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/cb2ce56c3bcd5b74beb1bd3df3b36c1a/element
2022-06-28 11:30:52,084 | CrawlData | [INFO] | Create Crawl data object
2022-06-28 11:30:52,084 | CrawlData | [INFO] | Start crawl data Shopee
2022-06-28 11:30:52,219 | uvicorn.error | [INFO] | Started server process [15268]
2022-06-28 11:30:52,219 | uvicorn.error | [INFO] | Waiting for application startup.
2022-06-28 11:30:52,219 | uvicorn.error | [INFO] | Application startup complete.
2022-06-28 11:30:52,220 | uvicorn.error | [INFO] | Uvicorn running on http://0.0.0.0:8002 (Press CTRL+C to quit)
2022-06-28 11:31:04,365 | CrawlShopeeService | [INFO] | START CRAWL SHOPEE SERVICE
2022-06-28 11:31:04,365 | CrawlShopeeService | [INFO] | CRAWL ITEM OF KEYWORDS: ['Áo', 'Quần']
2022-06-28 11:31:04,380 | Keyword | [INFO] | LOAD LINK Áo FROM FOLDER
2022-06-28 11:31:04,549 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1232
2022-06-28 11:31:04,607 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1423
2022-06-28 11:31:04,715 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Áo. NUMBER OF LINK HAVE BEEN CRAWLED: 1232
2022-06-28 11:31:04,795 | Keyword | [INFO] | LOAD LINK Quần FROM FOLDER
2022-06-28 11:31:04,928 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 1194
2022-06-28 11:31:04,988 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 1499
2022-06-28 11:31:05,099 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Quần. NUMBER OF LINK HAVE BEEN CRAWLED: 1194
2022-06-28 11:31:10,207 | Keyword | [INFO] | LOAD LINK Váy FROM FOLDER
2022-06-28 11:31:10,441 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Váy. NUMBER OF LINK HAVE BEEN CRAWLED: 2453
2022-06-28 11:31:10,519 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 62
2022-06-28 11:31:10,710 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Váy. NUMBER OF LINK HAVE BEEN CRAWLED: 2453
2022-06-28 11:31:10,796 | Keyword | [INFO] | LOAD LINK Đầm FROM FOLDER
2022-06-28 11:31:11,007 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Đầm. NUMBER OF LINK HAVE BEEN CRAWLED: 2282
2022-06-28 11:31:11,089 | Keyword | [INFO] | NUMBER OF LINK WILL CRAWLED: 371
2022-06-28 11:31:11,243 | Keyword | [INFO] | LOAD LINK HAVE BEEN CRAWLED OF Đầm. NUMBER OF LINK HAVE BEEN CRAWLED: 2282
2022-06-28 11:34:04,372 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:12
2022-06-28 11:34:04,372 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần', 'Váy', 'Đầm']
2022-06-28 11:39:04,373 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:31
2022-06-28 11:39:04,373 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần', 'Váy', 'Đầm']
2022-06-28 11:44:04,378 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:50
2022-06-28 11:44:04,380 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần', 'Váy', 'Đầm']
2022-06-28 11:49:04,379 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:72
2022-06-28 11:49:04,379 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần', 'Váy', 'Đầm']
2022-06-28 11:54:04,390 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:92
2022-06-28 11:54:04,390 | CrawlShopeeService | [INFO] | CRAWLING ITEM FOR ['Áo', 'Quần', 'Váy', 'Đầm']
2022-06-28 11:59:04,401 | CrawlShopeeService | [INFO] | NUMBER OF ITEM CRAWLED:111
